award_id,award_date,vendor_name,award_amount,category,department,country,contract_type,fiscal_year
LC-2022-00001,2022-09-08,DataCenter Solutions,10353.41,Medical Supplies,Operations,Costa Rica,Framework Agreement,2022.0
LC-2022-00002,2022-02-02,Uniforms & Workwear Co.,,Professional Services,Finance,USA,Spot Purchase,2022.0
LC-2022-00003,2022-08-14,Distribuidora Global S.A.,79001.83,IT & Technology,IT,Costa Rica,Spot Purchase,2022.0
LC-2022-00004,2022-12-15,Seguridad Total Corp,48269.0,IT & Technology,HR,Colombia,Spot Purchase,2022.0
LC-2022-00005,2022-12-19,Distribuidora Global S.A.,27419.67,IT & Technology,Legal,Panama,Framework Agreement,2022.0
LC-2023-00006,2023-10-06,MedEquip Latinoamerica,3459.21,Security,Legal,Panama,Framework Agreement,2023.0
LC-2022-00007,2022-10-24,Transportes Rápidos S.A.,52513.17,Marketing,Operations,Colombia,Time & Materials,2022.0
LC-2022-00008,2022-06-16,Grupo Logístico del Istmo,91210.17,Maintenance & Repair,Procurement,Colombia,Framework Agreement,2022.0
LC-2023-00009,2023-07-01,Energía Renovable S.A.,2430.34,Catering & Food,Finance,USA,Time & Materials,2023.0
LC-2022-00010,2022-02-27,Suministros Médicos del Sur,11090.45,Uniforms & PPE,Marketing,Panama,Framework Agreement,2022.0
LC-2022-00011,2022-08-06,Oficentro Internacional,20824.78,Logistics & Transport,IT,USA,Framework Agreement,2022.0
LC-2023-00012,2023-07-29,Ferremax Industrial,20767.08,Professional Services,Logistics,Panama,Time & Materials,2023.0
LC-2023-00013,2023-06-06,Cleaning Pro Services,7065.25,Catering & Food,Sales,Panama,Time & Materials,2023.0
LC-2023-00014,2023-09-03,TechSupplies Panama,3655.78,Office Supplies,HR,Colombia,Spot Purchase,2023.0
LC-2023-00015,2023-11-30,MedEquip Latinoamerica,369.67,Security,Marketing,Panama,Fixed Price,2023.0
LC-2023-00016,2023-04-10,Oficentro Internacional,,Logistics & Transport,Logistics,Panama,Time & Materials,2023.0
LC-2023-00017,2023-10-03,Publicidad Digital LATAM,1075.73,Marketing,HR,USA,Fixed Price,2023.0
LC-2023-00018,2023-09-06,TECHSUPPLIES PANAMA,52949.65,Office Supplies,HR,USA,Fixed Price,2023.0
LC-2022-00019,2022-09-04,Uniforms & Workwear Co.,1258.86,Professional Services,Logistics,Panama,Fixed Price,2022.0
LC-2022-00020,2022-05-12,Ferremax Industrial,6669.07,Professional Services,Finance,Mexico,Time & Materials,2022.0
LC-2023-00021,2023-07-07,MedEquip Latinoamerica,44288.18,Security,Administration,Panama,Time & Materials,2023.0
LC-2022-00022,2022-05-04,Grupo Logístico del Istmo,27696.7,Maintenance & Repair,Sales,Panama,Spot Purchase,2022.0
LC-2022-00023,2022-03-14,MedEquip Latinoamerica,5438.68,Security,Administration,Panama,Fixed Price,2022.0
LC-2022-00024,2022-10-13,Distribuidora Global S.A.,6570.22,IT & Technology,Sales,Panama,Time & Materials,2022.0
LC-2022-00025,2022-09-06,Energía Renovable S.A.,2172.05,Catering & Food,Administration,USA,Spot Purchase,2022.0
LC-2023-00026,2023-02-25,Distribuidora Global S.A.,41485.83,IT & Technology,Legal,Panama,Spot Purchase,2023.0
LC-2022-00027,2022-12-14,Suministros Médicos del Sur,874.38,Uniforms & PPE,Finance,Panama,Spot Purchase,2022.0
LC-2022-00028,2022-10-13,MedEquip Latinoamerica,8634.72,Security,HR,Panama,Time & Materials,2022.0
LC-2023-00029,2023-10-30,Mantenimiento Integral,1996.28,Office Supplies,Marketing,Panama,Fixed Price,2023.0
LC-2023-00030,2023-05-13,Energía Renovable S.A.,3173.08,Catering & Food,IT,Panama,Spot Purchase,2023.0
LC-2023-00031,2023-04-11,TechSupplies Panama,17640.49,Office Supplies,Operations,Panama,Framework Agreement,2023.0
LC-2022-00032,2022-10-31,Seguridad Total Corp,79095.98,IT & Technology,Procurement,Panama,Time & Materials,2022.0
LC-2023-00033,2023-08-22,Distribuidora Global S.A.,35732.05,IT & Technology,Sales,Panama,Fixed Price,2023.0
LC-2022-00034,2022-03-12,Distribuidora Global S.A.,10206.16,IT & Technology,Marketing,Panama,Time & Materials,2022.0
LC-2023-00035,2023-09-27,Distribuidora Global S.A.,97446.02,IT & Technology,Administration,Panama,Fixed Price,2023.0
LC-2022-00036,2022-09-02,Oficentro Internacional,8391.61,Logistics & Transport,Logistics,Panama,Framework Agreement,2022.0
LC-2023-00037,2023-09-29,Ferremax Industrial,46659.71,Professional Services,Finance,Panama,Spot Purchase,2023.0
LC-2022-00038,2022-03-12,TechSupplies Panama,3457.83,Office Supplies,Logistics,Panama,Framework Agreement,2022.0
